Station ID#,Name,Basin,Catchment area (km2),Latitude,Longitude,Station elevation (m.a.s.l.),Start year,End year,Continuous permafrost (%),Discontinuous permafrost (%),Sporadic permafrost (%),Isolated permafrost (%),No permafrost (%),Primary permafrost type,Prior primary permafrost type
1001,Kolyma at Orotuk,Anadyr Kolyma,43776.00,62.12,148.47,478.2,1968,1996,100,0,0,0,0,Continuous,
1095,Kulu at Kulu,Anadyr Kolyma,10289.00,61.9,147.42,617.1,1942,1994,100,0,0,0,0,Continuous,Continuous
1151,Detrin at Detrin,Anadyr Kolyma,3237.00,61.13,149.67,556.5,1956,2001,100,0,0,0,0,Continuous,Continuous
1176,Bokhalcha at 5.4 km from ust'ya,Anadyr Kolyma,13551.00,62.1,150.67,334,1934,1998,100,0,0,0,0,Continuous,Continuous
1397,Anuy at Ostrovnoye,Anadyr Kolyma,30050.00,68.1,164.17,3,1960,1988,100,0,0,0,0,Continuous,Continuous
1433,Palyavaam at Palyavaam,Anadyr Kolyma,8861.00,68.53,174.15,8,1978,1995,100,0,0,0,0,Continuous,
1623,Srednekan (Srednikan) at Srednekan,Anadyr Kolyma,1742.00,62.33,152.33,240.5,1934,2000,100,0,0,0,0,Continuous,Continuous
3003,Lena at Kachug,Lena,17433.00,53.97,105.88,506.1,1936,2001,0,0.8,63.8,35.4,0,Sporadic,Isolated
3087,Kirenga at Shorokhovo,Lena,46571.00,57.63,108.12,254.2,1927,2001,12.3,32.2,53.4,2.1,0,Sporadic,Isolated
3156,Nuya at Kurum,Lena,32600.00,60.27,114.73,173.1,1934,2002,,,,,,Discontinuous†,Discontinuous
3157,Bol'shoy Patom at Patoma,Lena,26819.00,60.17,116.8,162.6,1934,2002,21.8,67.9,10.3,0,0,Discontinuous,Discontinuous
3198,Zhuya at Svetly,Lena,4765.00,58.42,116.02,401,1948,2002,30.7,69.3,0,0,0,Discontinuous,
3202,Namana at Myakinda,Lena,16706.00,60.9,120.8,139.7,1944,2002,83.6,16.4,0,0,0,Continuous,Continuous
3206,Tuolba at Alekseevka,Lena,14420.00,60.28,124,147.1,1935,1998,82.6,17,0,0.4,0,Continuous,Continuous
3210,Buotama at Brolog,Lena,12176.00,61.05,128.65,111,1936,2002,96.2,0,0,3.8,0,Continuous,Continuous
3214,Shestakovka at Kamurdarustan,Lena,171.00,61.93,129.55,102.2,1951,2002,100,0,0,0,0,Continuous,Continuous
3219,Aldan at Tommot,Lena,49601.00,58.97,126.27,272.6,1936,2002,31.1,61.4,7.5,0,0,Discontinuous,Sporadic
3246,Timpton at Nagorny,Lena,613.00,55.97,124.88,830.5,1936,2002,100,0,0,0,0,Continuous,
3277,Allakh-Yun' at Allakh,Lena,24246.00,60.68,135.03,45.5,1956,2002,100,0,0,0,0,Continuous,Continuous
